[0.08726646259971647 1.4835298641951802],[0.9924038765061041 0.08682408883346517 0.08715574274765814]
[0.08726646259971647 1.5707963267948966],[0.9961946980917455 0.08715574274765817 6.123233995736766e-17]
[0.08726646259971647 1.6580627893946132],[0.9924038765061041 0.08682408883346517 -0.08715574274765824]
[0.08726646259971647 1.7453292519943295],[0.9810602621904069 0.08583165117743129 -0.1736481776669303]
[0.08726646259971647 1.8325957145940461],[0.9622501868990583 0.08418598282936919 -0.25881904510252085]
[0.08726646259971647 1.9198621771937625],[0.9361168066628592 0.08189960831908934 -0.3420201433256687]
[0.08726646259971647 2.007128639793479],[0.9028590122851736 0.07898992833716563 -0.42261826174069933]
[0.08726646259971647 2.0943951023931953],[0.862729915662821 0.07547908730517333 -0.4999999999999998]
[0.08726646259971647 2.181661564992912],[0.8160349234517082 0.07139380484326965 -0.5735764363510462]
[0.08726646259971647 2.2689280275926285],[0.7631294127377697 0.0667651724177507 -0.6427876096865394]
[0.08726646259971647 2.356194490192345],[0.7044160264027587 0.06162841671621935 -0.7071067811865475]
[0.08726646259971647 2.443460952792061],[0.640341608768797 0.05602263155122214 -0.7660444431189779]
[0.08726646259971647 2.530727415391778],[0.5713938048432695 0.049990480332730285 -0.8191520442889919]
[0.08726646259971647 2.6179938779914944],[0.4980973490458727 0.043577871373829076 -0.8660254037844387]
[0.08726646259971647 2.705260340591211],[0.42101007166283444 0.036833608500734874 -0.9063077870366499]
[0.08726646259971647 2.792526803190927],[0.34071865342161023 0.02980901962620917 -0.9396926207859083]
[0.08726646259971647 2.8797932657906435],[0.2578341604962998 0.02255756611314986 -0.9659258262890682]
[0.08726646259971647 2.9670597283903604],[0.1729873939250894 0.015134435901338615 -0.984807753012208]
[0.08726646259971647 3.0543261909900767],[0.0868240888334652 0.007596123493895972 -0.9961946980917455]
[0.17453292519943295 0.0],[0.0 0.0 1.0]
[0.17453292519943295 0.08726646259971647],[0.08583165117743129 0.01513443590133862 0.9961946980917455]
[0.17453292519943295 0.17453292519943295],[0.17101007166283433 0.030153689607045803 0.984807753012208]
[0.17453292519943295 0.2617993877991494],[0.25488700224417876 0.044943455527547777 0.9659258262890683]
[0.17453292519943295 0.3490658503988659],[0.33682408883346515 0.0593911746138847 0.9396926207859084]
[0.17453292519943295 0.4363323129985824],[0.4161977407267834 0.07338689100003824 0.9063077870366499]
[0.17453292519943295 0.5235987755982988],[0.49240387650610395 0.08682408883346515 0.8660254037844387]
[0.17453292519943295 0.6108652381980153],[0.5648625214636234 0.0996005029250512 0.8191520442889918]
[0.17453292519943295 0.6981317007977318],[0.633022221559489 0.11161889704894963 0.766044443118978]
[0.17453292519943295 0.7853981633974483],[0.696364240320019 0.12278780396897285 0.7071067811865476]
