[-0.29973965 -2.10883843],[-0.29527147 -0.9554134 ]
[-0.32066943 -2.07679815],[-0.31520194 -0.94902462]
[-0.34126928 -2.04285753],[-0.33468344 -0.94233062]
[-0.3615204  -2.00706347],[-0.35369677 -0.93536014]
[-0.38140453 -1.96946459],[-0.37222444 -0.92814275]
[-0.40090385 -1.93011109],[-0.39025068 -0.92070864]
[-0.42000107 -1.88905461],[-0.40776143 -0.9130885 ]
[-0.43867944 -1.846348  ],[-0.42474431 -0.90531335]
[-0.45692271 -1.80204522],[-0.4411886  -0.89741441]
[-0.47471521 -1.75620113],[-0.45708516 -0.88942293]
[-0.49204178 -1.70887137],[-0.47242644 -0.8813701 ]
[-0.50888787 -1.66011216],[-0.48720634 -0.87328689]
[-0.52523945 -1.60998023],[-0.50142019 -0.8652039 ]
[-0.54108309 -1.55853262],[-0.51506466 -0.85715132]
[-0.55640591 -1.50582658],[-0.52813766 -0.84915877]
[-0.57119561 -1.45191947],[-0.54063825 -0.84125518]
[-0.58544048 -1.39686862],[-0.55256657 -0.83346877]
[-0.59912936 -1.34073122],[-0.56392369 -0.8258269 ]
[-0.61225168 -1.28356428],[-0.57471159 -0.81835603]
[-0.62479741 -1.22542453],[-0.58493297 -0.81108164]
[-0.63675711 -1.16636831],[-0.5945912  -0.80402817]
[-0.64812191 -1.10645157],[-0.60369022 -0.79721899]
[-0.65888346 -1.0457298 ],[-0.61223441 -0.79067631]
[-0.669034   -0.98425796],[-0.62022853 -0.78442117]
[-0.6785663 -0.9220905],[-0.62767757 -0.77847342]
[-0.68747367 -0.85928131],[-0.63458673 -0.77285165]
[-0.69574997 -0.7958837 ],[-0.64096127 -0.76757322]
[-0.70338956 -0.73195043],[-0.64680646 -0.76265418]
[-0.71038736 -0.66753367],[-0.65212748 -0.75810932]
[-0.71673879 -0.60268507],[-0.65692938 -0.75395212]
[-0.72243979 -0.53745571],[-0.66121696 -0.75019473]
[-0.72748681 -0.47189617],[-0.66499476 -0.74684802]
[-0.73187678 -0.40605657],[-0.66826699 -0.74392152]
[-0.73560717 -0.33998656],[-0.67103745 -0.74142346]
[-0.73867591 -0.2737354 ],[-0.67330952 -0.73936073]
[-0.74108144 -0.207352  ],[-0.67508613 -0.73773893]
[-0.74282267 -0.14088495],[-0.67636968 -0.73656233]
[-0.74389902 -0.07438258],[-0.67716208 -0.73583389]
[-0.74431037 -0.007893  ],[-0.67746471 -0.73555528]
[-0.74405708  0.05853582],[-0.67727838 -0.73572685]
[-0.74314001  0.124856  ],[-0.67660338 -0.73634765]
[-0.74156048  0.19101975],[-0.67543946 -0.73741544]
[-0.7393203   0.25697924],[-0.67378582 -0.7389267 ]
[-0.73642174  0.3226866 ],[-0.67164117 -0.7408766 ]
[-0.73286757  0.38809385],[-0.66900373 -0.74325905]
[-0.72866102  0.45315287],[-0.66587127 -0.74606666]
[-0.72380583  0.51781534],[-0.66224114 -0.74929078]
[-0.7183062   0.58203273],[-0.65811032 -0.75292152]
[-0.71216682  0.64575621],[-0.65347548 -0.75694769]
[-0.70539289  0.70893668],[-0.64833301 -0.76135689]
[-0.69799006  0.77152474],[-0.6426791  -0.76613548]
[-0.68996453  0.83347063],[-0.63650983 -0.77126859]
[-0.68132296  0.89472427],[-0.62982117 -0.77674017]
[-0.67207252  0.95523523],[-0.62260914 -0.78253298]
[-0.6622209   1.01495274],[-0.61486983 -0.78862861]
[-0.65177628  1.0738257 ],[-0.60659952 -0.79500756]
[-0.64074737  1.13180273],[-0.59779474 -0.80164921]
[-0.62914339  1.18883216],[-0.58845237 -0.80853188]
[-0.61697406  1.24486209],[-0.57856976 -0.81563291]
[-0.60424965  1.29984044],[-0.56814475 -0.82292864]
[-0.59098093  1.35371499],[-0.55717585 -0.83039453]
[-0.5771792   1.40643348],[-0.54566227 -0.83800518]
[-0.56285629  1.45794365],[-0.53360403 -0.84573444]
[-0.54802453  1.50819335],[-0.52100208 -0.85355541]
[-0.5326968   1.55713059],[-0.50785832 -0.86144061]
[-0.51688647  1.60470372],[-0.49417575 -0.86936202]
[-0.50060744  1.65086145],[-0.47995853 -0.87729118]
[-0.48387413  1.69555304],[-0.46521203 -0.88519928]
[-0.46670144  1.73872836],[-0.44994293 -0.89305731]
[-0.44910478  1.78033808],[-0.43415926 -0.90083613]
[-0.43110005  1.82033375],[-0.41787046 -0.90850662]
[-0.41270364  1.85866799],[-0.40108743 -0.91603978]
[-0.39393239  1.89529458],[-0.38382257 -0.92340686]
[-0.37480359  1.93016867],[-0.36608976 -0.93057954]
[-0.355335    1.96324686],[-0.34790446 -0.93752999]
[-0.33554478  1.9944874 ],[-0.32928362 -0.94423106]
