[-0.03494552  0.27890963],[-0.03493841 -0.99938947]
[-0.01300146 -0.0032427 ],[-0.01300109 -0.99991548]
[0.06870185 1.45686483],[ 0.06864782 -0.99764096]
[-0.01402478  0.05067495],[-0.01402432 -0.99990165]
[ 0.01924091 -0.37780419],[ 0.01923972 -0.9998149 ]
[-0.05200781 -0.38255941],[-0.05198436 -0.9986479 ]
[ 0.17446878 -1.84382238],[ 0.17358501 -0.98481889]
[-0.01721952  0.04022525],[-0.01721867 -0.99985175]
[0.00737845 0.00442198],[ 0.00737838 -0.99997278]
[-0.08816358  0.76903714],[-0.08804941 -0.99611611]
[0.24046209 0.24027039],[ 0.23815144 -0.97122803]
[-0.05779067  0.16890018],[-0.0577585  -0.99833058]
[-0.37226336  0.43930451],[-0.3637247  -0.93150649]
[-0.01568431  0.00889528],[-0.01568367 -0.999877  ]
[ 0.10762141 -0.88888108],[ 0.10741377 -0.9942144 ]
[-0.11138655  0.12717495],[-0.11115636 -0.99380293]
[ 0.02803939 -0.07686001],[ 0.02803571 -0.99960692]
[ 0.11321551 -0.2447396 ],[ 0.11297381 -0.99359797]
[-0.00069059  0.04404693],[-6.90587131e-04 -9.99999762e-01]
[-0.00464235 -0.0234517 ],[-0.00464234 -0.99998922]
[-0.1211698  -0.84726698],[-0.12087351 -0.99266792]
[-0.04697082  0.03178547],[-0.04695355 -0.99889707]
[-0.00264292  0.01610231],[-0.00264292 -0.99999651]
[ 0.03301563 -0.09812202],[ 0.03300963 -0.99945503]
[ 0.44160707 -0.44565986],[ 0.42739292 -0.90406598]
[ 0.00277469 -0.0334275 ],[ 0.00277468 -0.99999615]
[-0.31609321  1.3436459 ],[-0.3108557  -0.95045712]
[ 0.13062842 -0.24468889],[ 0.13025723 -0.99148023]
[-0.16107076  0.23096254],[-0.1603752  -0.98705613]
[-0.03556744 -0.00049893],[-0.03555994 -0.99936755]
[-0.02573518  0.09216866],[-0.02573234 -0.99966887]
[0.00549368 0.00267749],[ 0.00549365 -0.99998491]
[0.33348468 1.67713282],[ 0.32733771 -0.94490742]
[-0.00903805 -0.01065948],[-0.00903793 -0.99995916]
[-0.01788969  0.15411823],[-0.01788873 -0.99983998]
[-0.00225883  0.01865916],[-0.00225883 -0.99999745]
[ 0.02156043 -0.10908802],[ 0.02155876 -0.99976758]
[-0.00945711 -0.00607232],[-0.00945697 -0.99995528]
[-0.01437485 -0.03214851],[-0.01437435 -0.99989668]
[0.01438675 0.05535021],[ 0.01438626 -0.99989651]
[-0.05617652  0.10143495],[-0.05614698 -0.99842251]
[0.31847999 0.63989858],[ 0.31312335 -0.94971246]
[-0.19019384  0.14954887],[-0.18904924 -0.98196761]
[-0.43578208 -0.22080941],[-0.42211951 -0.90654019]
[ 0.26133683 -0.30564934],[ 0.25837222 -0.96604544]
